You entered a buffer length of 100
0.734350,0.847282, Max:1.809199, Min:-0.989011
0.229952,0.831153, Max:1.809199, Min:-0.989011
-0.088300,0.819342, Max:1.809199, Min:-0.989011
-0.214399,0.810517, Max:1.809199, Min:-0.989011
-0.316480,0.801722, Max:1.809199, Min:-0.989011
-0.454589,0.792507, Max:1.809199, Min:-0.989011
-0.562675,0.784008, Max:1.809199, Min:-0.989011
-0.616717,0.776597, Max:1.809199, Min:-0.989011
-0.622722,0.770038, Max:1.809199, Min:-0.989011
-0.604708,0.763848, Max:1.809199, Min:-0.989011
-0.580689,0.757781, Max:1.809199, Min:-0.989011
-0.550665,0.752016, Max:1.809199, Min:-0.989011
-0.496622,0.746674, Max:1.809199, Min:-0.989011
-0.418561,0.741757, Max:1.809199, Min:-0.989011
-0.328489,0.737024, Max:1.809199, Min:-0.989011
-0.244423,0.732113, Max:1.809199, Min:-0.989011
-0.178371,0.726840, Max:1.809199, Min:-0.989011
-0.136338,0.721082, Max:1.809199, Min:-0.989011
-0.088300,0.715440, Max:1.809199, Min:-0.989011
-0.052271,0.709740, Max:1.809199, Min:-0.989011
0.007776,0.704458, Max:1.809199, Min:-0.989011
0.085838,0.699482, Max:1.809199, Min:-0.989011
0.157895,0.694328, Max:1.809199, Min:-0.989011
0.223947,0.689052, Max:1.809199, Min:-0.989011
0.308013,0.684196, Max:1.809199, Min:-0.989011
0.380070,0.679343, Max:1.809199, Min:-0.989011
0.476146,0.674671, Max:1.809199, Min:-0.989011
0.560213,0.669821, Max:1.809199, Min:-0.989011
0.632270,0.664608, Max:1.809199, Min:-0.989011
0.692317,0.659212, Max:1.809199, Min:-0.989011
0.740355,0.653753, Max:1.809199, Min:-0.989011
0.782388,0.648054, Max:1.809199, Min:-0.989011
0.812412,0.641572, Max:1.809199, Min:-0.989011
0.758369,0.633821, Max:1.809199, Min:-0.989011
0.686312,0.625397, Max:1.809199, Min:-0.989011
0.578227,0.616906, Max:1.809199, Min:-0.989011
0.482151,0.608475, Max:1.809199, Min:-0.989011
0.404089,0.600524, Max:1.809199, Min:-0.989011
0.356051,0.593179, Max:1.809199, Min:-0.989011
0.350047,0.586681, Max:1.809199, Min:-0.989011
0.374066,0.580611, Max:1.809199, Min:-0.989011
0.398085,0.574425, Max:1.809199, Min:-0.989011
0.398085,0.567698, Max:1.809199, Min:-0.989011
0.350047,0.559825, Max:1.809199, Min:-0.989011
0.229952,0.550559, Max:1.809199, Min:-0.989011
0.073828,0.541099, Max:1.809199, Min:-0.989011
-0.040262,0.532537, Max:1.809199, Min:-0.989011
-0.094304,0.525186, Max:1.809199, Min:-0.989011
-0.082295,0.519228, Max:1.809199, Min:-0.989011
0.001771,0.514725, Max:1.809199, Min:-0.989011
0.175909,0.512218, Max:1.809199, Min:-0.989011
0.428108,0.510932, Max:1.809199, Min:-0.989011
0.740355,0.510979, Max:1.809199, Min:-0.989011
1.118654,0.512601, Max:1.809199, Min:-0.989011
1.563005,0.513878, Max:1.809199, Min:-0.989011
1.743147,0.510168, Max:1.809199, Min:-0.989011
1.779176,0.504246, Max:1.809199, Min:-0.989011
1.803195,0.498062, Max:1.809199, Min:-0.989011
1.809199,0.491575, Max:1.809199, Min:-0.989011
1.797190,0.482623, Max:1.809199, Min:-0.989011
1.250758,0.464039, Max:1.809199, Min:-0.989011
0.638274,0.446379, Max:1.809199, Min:-0.989011
0.344042,0.435695, Max:1.809199, Min:-0.989011
0.368061,0.429703, Max:1.809199, Min:-0.989011
0.356051,0.422618, Max:1.809199, Min:-0.989011
0.259975,0.413660, Max:1.809199, Min:-0.989011
0.097847,0.403842, Max:1.809199, Min:-0.989011
-0.010238,0.395518, Max:1.809199, Min:-0.989011
-0.064281,0.388049, Max:1.809199, Min:-0.989011
-0.088300,0.381129, Max:1.809199, Min:-0.989011
-0.124328,0.374094, Max:1.809199, Min:-0.989011
-0.100309,0.367899, Max:1.809199, Min:-0.989011
-0.094304,0.361412, Max:1.809199, Min:-0.989011
-0.094304,0.354802, Max:1.809199, Min:-0.989011
-0.076290,0.348791, Max:1.809199, Min:-0.989011
-0.052271,0.342786, Max:1.809199, Min:-0.989011
-0.022248,0.336781, Max:1.809199, Min:-0.989011
-0.010238,0.330356, Max:1.809199, Min:-0.989011
-0.016243,0.323627, Max:1.809199, Min:-0.989011
-0.034257,0.316714, Max:1.809199, Min:-0.989011
-0.040262,0.309980, Max:1.809199, Min:-0.989011
-0.070286,0.313275, Max:1.809199, Min:-0.989011
