You entered a buffer length of 20
-0.127603,0.583201, Max:2.243202, Min:-1.760158
-0.241642,0.541374, Max:2.243202, Min:-1.760158
-0.343677,0.500870, Max:2.243202, Min:-1.760158
-0.475722,0.457430, Max:2.243202, Min:-1.760158
-0.589760,0.415645, Max:2.243202, Min:-1.760158
-0.697797,0.375143, Max:2.243202, Min:-1.760158
-0.805834,0.333504, Max:2.243202, Min:-1.760158
-0.937879,0.289708, Max:2.243202, Min:-1.760158
-1.081928,0.244003, Max:2.243202, Min:-1.760158
-1.237981,0.198804, Max:2.243202, Min:-1.760158
-1.376028,0.155130, Max:2.243202, Min:-1.760158
-1.484065,0.113933, Max:2.243202, Min:-1.760158
-1.592101,0.072559, Max:2.243202, Min:-1.760158
-1.700138,0.032978, Max:2.243202, Min:-1.760158
-1.748154,-0.000812, Max:2.243202, Min:-1.760158
-1.760158,-0.031611, Max:2.243202, Min:-1.760158
-1.760158,0.062881, Max:2.243202, Min:-1.760158
-1.760158,-0.028427, Max:2.243202, Min:-1.760158
-1.760158,-0.129025, Max:2.243202, Min:-1.760158
-1.760158,-0.230087, Max:2.243202, Min:-1.760158
-1.760158,-0.331173, Max:2.243202, Min:-1.760158
-1.760158,-0.432260, Max:2.243202, Min:-1.760158
-1.760158,-0.533347, Max:2.243202, Min:-1.760158
-1.760158,-0.634434, Max:2.243202, Min:-1.760158
-1.742152,-0.731920, Max:2.243202, Min:-1.760158
-1.664126,-0.824724, Max:2.243202, Min:-1.760158
-1.592101,-0.917894, Max:2.243202, Min:-1.760158
-1.514075,-1.010783, Max:2.243202, Min:-1.760158
-1.418042,-1.102457, Max:2.243202, Min:-1.760158
-1.334013,-1.194370, Max:2.243202, Min:-1.760158
-1.243983,-1.285095, Max:2.243202, Min:-1.760158
-1.111938,-1.370359, Max:2.243202, Min:-1.760158
-0.865854,-1.441245, Max:2.243202, Min:-1.760158
-0.421703,-1.491305, Max:2.243202, Min:-1.760158
0.304544,-1.507913, Max:2.243202, Min:-1.760158
1.372907,-1.501841, Max:2.243202, Min:-1.760158
1.991117,-1.647687, Max:2.243202, Min:-1.760158
2.183182,-1.448209, Max:2.243202, Min:-1.760158
