20Fast ,100Fast,turtle100,turtle
-0.180083,-0.180083,-0.131916,-0.131916
-0.162021,-0.162021,-0.113854,-0.113854
-0.101812,-0.101812,-0.08375,-0.08375
0.018604,0.018604,-0.059666,-0.059666
0.199229,0.199229,-0.041604,-0.041604
0.415979,0.415979,-0.035583,-0.035583
0.620688,0.620688,-0.035583,-0.035583
0.789271,0.789271,-0.029562,-0.029562
0.921729,0.921729,-0.035583,-0.035583
0.993979,0.993979,-0.035583,-0.035583
0.680896,0.680896,-0.035583,-0.035583
0.018604,0.018604,-0.035583,-0.035583
-0.481125,-0.481125,-0.035583,-0.035583
-0.782166,-0.782166,-0.041604,-0.041604
-0.794208,-0.794208,-0.029562,-0.029562
-0.896562,-0.896562,-0.0115,-0.0115
-1.041062,-1.047083,0.000542,0.006563
-0.974833,-0.974833,0.012583,0.012583
-0.721958,-0.721958,0.018604,0.018604
-0.426937,-0.426937,0.012583,0.012583
-0.162021,-0.162021,0.012583,0.012583
-0.023541,-0.023541,0.000542,0.000542
-0.029562,-0.029562,-0.0115,-0.0115
-0.162021,-0.162021,-0.029562,-0.029562
-0.306521,-0.306521,-0.053646,-0.053646
-0.348666,-0.348666,-0.08375,-0.08375
-0.342646,-0.342646,-0.089771,-0.089771
-0.312541,-0.312541,-0.119875,-0.119875
-0.264375,-0.264375,-0.137937,-0.137937
-0.216208,-0.216208,-0.149979,-0.149979
-0.180083,-0.180083,-0.162021,-0.162021
-0.162021,-0.162021,-0.156,-0.156
-0.156,-0.156,-0.131916,-0.131916
-0.137937,-0.137937,-0.095791,-0.095791
-0.101812,-0.101812,-0.023541,-0.023541
-0.077729,-0.077729,0.006563,0.006563
-0.065687,-0.065687,0.000542,0.000542
-0.065687,-0.065687,0.018604,0.018604
-0.071708,-0.071708,0.024625,0.024625
-0.08375,-0.08375,0.030646,0.030646
-0.08375,-0.08375,0.018604,0.018604
-0.089771,-0.089771,0.018604,0.018604
-0.101812,-0.101812,0.000542,0.000542
-0.107833,-0.107833,-0.017521,-0.017521
-0.125896,-0.125896,-0.035583,-0.035583
-0.174062,-0.174062,-0.059666,-0.059666
-0.216208,-0.216208,-0.08375,-0.08375
-0.234271,-0.234271,-0.113854,-0.113854
-0.222229,-0.222229,-0.137937,-0.137937
-0.186104,-0.186104,-0.162021,-0.162021
-0.168041,-0.168041,-0.186104,-0.186104
-0.156,-0.156,-0.198146,-0.198146
-0.131916,-0.131916,-0.222229,-0.222229
-0.101812,-0.101812,-0.234271,-0.234271
-0.077729,-0.077729,-0.234271,-0.234271
-0.053646,-0.053646,-0.210187,-0.210187
-0.053646,-0.059666,-0.156,-0.125896
-0.053646,-0.053646,-0.089771,-0.089771
-0.053646,-0.053646,-0.035583,-0.035583
-0.053646,-0.053646,0.042688,0.042688
-0.023541,-0.023541,0.126979,0.126979
0.024625,0.024625,0.211271,0.211271
0.108917,0.108917,0.295563,0.295563
0.211271,0.211271,0.367813,0.367813
0.361792,0.361792,0.397917,0.397917
0.470167,0.470167,0.415979,0.415979
0.500271,0.500271,0.391896,0.391896
0.464146,0.464146,0.379854,0.379854
0.428021,0.428021,0.34975,0.34975
0.325667,0.325667,0.325667,0.325667
0.235354,0.235354,0.301584,0.301584
0.223313,0.223313,0.295563,0.295563
0.259438,0.259438,0.289542,0.289542
0.283521,0.283521,0.337708,0.337708
0.217292,0.217292,0.367813,0.367813
0.120959,0.120959,0.409958,0.409958
0.072792,0.06075,0.464146,0.500271
0.06075,0.06075,0.530375,0.530375
-0.059666,-0.059666,0.602625,0.602625
-0.137937,-0.137937,0.674875,0.674875
-0.113854,-0.113854,0.759167,0.759167
-0.077729,-0.077729,0.837438,0.837438
-0.059666,-0.059666,0.921729,0.921729
-0.053646,-0.053646,0.981938,0.981938
-0.047625,-0.047625,0.993979,0.993979
-0.041604,-0.041604,0.939792,0.939792
-0.047625,-0.047625,0.915708,0.915708
-0.071708,-0.071708,0.897646,0.897646
-0.101812,-0.101812,0.861521,0.861521
-0.143958,-0.143958,0.813354,0.813354
-0.192125,-0.192125,0.771208,0.771208
-0.246312,-0.246312,0.729063,0.729063
-0.282437,-0.282437,0.686917,0.686917
-0.312541,-0.312541,0.632729,0.632729
-0.360708,-0.360708,0.578542,0.578542
-0.426937,-0.426937,0.524354,0.524354
-0.469083,-0.451021,0.506292,0.518333
-0.487146,-0.487146,0.542417,0.542417
-0.51725,-0.51725,0.626708,0.626708
-0.547354,-0.547354,0.729063,0.729063
-0.577458,-0.577458,0.837438,0.837438
-0.595521,-0.595521,0.92775,0.92775
-0.607562,-0.607562,0.981938,0.981938
-0.577458,-0.577458,0.993979,0.993979
-0.571437,-0.571437,0.987958,0.987958
-0.583479,-0.583479,0.921729,0.921729
-0.607562,-0.607562,0.879583,0.879583
-0.613583,-0.613583,0.825396,0.825396
-0.5895,-0.5895,0.765188,0.765188
-0.547354,-0.547354,0.698958,0.698958
-0.493166,-0.493166,0.626708,0.626708
-0.445,-0.445,0.530375,0.530375
-0.396833,-0.396833,0.49425,0.49425
-0.342646,-0.342646,0.470167,0.470167
-0.288458,-0.288458,0.49425,0.49425
-0.246312,-0.246312,0.578542,0.578542
-0.174062,-0.204166,0.741104,0.849479
-0.149979,-0.149979,0.951833,0.951833
-0.089771,-0.089771,1.138479,1.138479
-0.023541,-0.023541,1.276958,1.276958
0.024625,0.024625,1.355229,1.355229
0.078813,0.078813,1.379313,1.379313
0.120959,0.120959,1.36125,1.36125
0.175146,0.175146,1.343188,1.343188
0.235354,0.235354,1.282979,1.282979
0.313625,0.313625,1.222771,1.222771
0.397917,0.397917,1.186646,1.186646
0.488229,0.488229,1.162563,1.162563
0.554458,0.554458,1.1445,1.1445
0.644771,0.644771,1.156542,1.156542
