You entered a buffer length of 100
0.988776,0.569106, Max:1.084809, Min:-0.007563
0.970770,0.562921, Max:1.084809, Min:-0.007563
0.958766,0.556737, Max:1.084809, Min:-0.007563
0.946762,0.550733, Max:1.084809, Min:-0.007563
0.946762,0.544731, Max:1.084809, Min:-0.007563
0.934758,0.538669, Max:1.084809, Min:-0.007563
0.928756,0.532786, Max:1.084809, Min:-0.007563
0.946762,0.527145, Max:1.084809, Min:-0.007563
0.940760,0.521207, Max:1.084809, Min:-0.007563
0.946762,0.515386, Max:1.084809, Min:-0.007563
0.946762,0.509505, Max:1.084809, Min:-0.007563
0.946762,0.503625, Max:1.084809, Min:-0.007563
0.940760,0.497564, Max:1.084809, Min:-0.007563
0.946762,0.491561, Max:1.084809, Min:-0.007563
0.904748,0.485079, Max:1.084809, Min:-0.007563
0.886742,0.478772, Max:1.084809, Min:-0.007563
0.868735,0.472467, Max:1.084809, Min:-0.007563
0.844727,0.466282, Max:1.084809, Min:-0.007563
0.838725,0.460278, Max:1.084809, Min:-0.007563
0.832723,0.454396, Max:1.084809, Min:-0.007563
0.832723,0.448575, Max:1.084809, Min:-0.007563
0.862733,0.443175, Max:1.084809, Min:-0.007563
0.880739,0.437719, Max:1.084809, Min:-0.007563
0.910750,0.432203, Max:1.084809, Min:-0.007563
0.940760,0.427166, Max:1.084809, Min:-0.007563
0.964768,0.421774, Max:1.084809, Min:-0.007563
0.982774,0.416198, Max:1.084809, Min:-0.007563
0.994778,0.410620, Max:1.084809, Min:-0.007563
1.000780,0.404622, Max:1.084809, Min:-0.007563
0.976772,0.398320, Max:1.084809, Min:-0.007563
0.964768,0.392135, Max:1.084809, Min:-0.007563
0.946762,0.385891, Max:1.084809, Min:-0.007563
0.922754,0.379947, Max:1.084809, Min:-0.007563
0.898746,0.384929, Max:1.084809, Min:-0.007563
0.886742,0.389841, Max:1.084809, Min:-0.007563
0.868735,0.394751, Max:1.084809, Min:-0.007563
0.862733,0.399842, Max:1.084809, Min:-0.007563
0.862733,0.405055, Max:1.084809, Min:-0.007563
0.856731,0.410089, Max:1.084809, Min:-0.007563
0.850729,0.415181, Max:1.084809, Min:-0.007563
0.850729,0.420513, Max:1.084809, Min:-0.007563
0.856731,0.425849, Max:1.084809, Min:-0.007563
0.862733,0.431184, Max:1.084809, Min:-0.007563
0.874737,0.436639, Max:1.084809, Min:-0.007563
0.892744,0.442275, Max:1.084809, Min:-0.007563
0.910750,0.447914, Max:1.084809, Min:-0.007563
0.940760,0.453732, Max:1.084809, Min:-0.007563
0.970770,0.459492, Max:1.084809, Min:-0.007563
1.000780,0.465492, Max:1.084809, Min:-0.007563
1.030791,0.471134, Max:1.084809, Min:-0.007563
1.054799,0.476832, Max:1.084809, Min:-0.007563
1.078807,0.482531, Max:1.090811, Min:-0.007563
1.114819,0.488230, Max:1.114819, Min:-0.007563
1.108817,0.493388, Max:1.114819, Min:-0.007563
1.102815,0.498542, Max:1.114819, Min:-0.007563
1.102815,0.503575, Max:1.114819, Min:-0.007563
1.096813,0.508787, Max:1.114819, Min:-0.007563
1.096813,0.514001, Max:1.114819, Min:-0.007563
1.090811,0.519275, Max:1.114819, Min:-0.007563
1.084809,0.524669, Max:1.126823, Min:-0.007563
1.138827,0.530785, Max:1.162835, Min:-0.007563
1.192846,0.537029, Max:1.210852, Min:-0.007563
1.234860,0.542913, Max:1.234860, Min:-0.007563
1.276874,0.549154, Max:1.294880, Min:-0.007563
1.306884,0.554918, Max:1.318888, Min:-0.007563
1.324890,0.560438, Max:1.330893, Min:-0.007563
1.336895,0.565775, Max:1.336895, Min:-0.007563
1.324890,0.570750, Max:1.336895, Min:-0.007563
1.306884,0.575541, Max:1.336895, Min:-0.007563
1.270872,0.579911, Max:1.336895, Min:-0.007563
1.228858,0.584216, Max:1.336895, Min:-0.007563
1.168837,0.588160, Max:1.336895, Min:-0.007563
1.108817,0.592101, Max:1.336895, Min:-0.007563
1.042794,0.596102, Max:1.336895, Min:-0.007563
0.982774,0.600043, Max:1.336895, Min:-0.007563
0.910750,0.603924, Max:1.336895, Min:-0.007563
0.856731,0.608104, Max:1.336895, Min:-0.007563
0.826721,0.612647, Max:1.336895, Min:-0.007563
0.790709,0.617254, Max:1.336895, Min:-0.007563
0.766701,0.622042, Max:1.336895, Min:-0.007563
0.766701,0.627252, Max:1.336895, Min:-0.007563
0.772703,0.632766, Max:1.336895, Min:-0.007563
0.790709,0.638343, Max:1.336895, Min:-0.007563
0.814717,0.643980, Max:1.336895, Min:-0.007563
0.838725,0.649679, Max:1.336895, Min:-0.007563
0.850729,0.655137, Max:1.336895, Min:-0.007563
0.862733,0.660534, Max:1.336895, Min:-0.007563
0.862733,0.665990, Max:1.336895, Min:-0.007563
0.856731,0.670726, Max:1.336895, Min:-0.007563
0.832723,0.675395, Max:1.336895, Min:-0.007563
0.802713,0.679943, Max:1.336895, Min:-0.007563
0.754697,0.684370, Max:1.336895, Min:-0.007563
0.736691,0.689156, Max:1.336895, Min:-0.007563
0.706680,0.693765, Max:1.336895, Min:-0.007563
0.682672,0.698373, Max:1.336895, Min:-0.007563
0.670668,0.703521, Max:1.336895, Min:-0.007563
0.664666,0.708674, Max:1.336895, Min:-0.007563
0.664666,0.714007, Max:1.336895, Min:-0.007563
0.658664,0.719282, Max:1.336895, Min:-0.007563
0.688674,0.724917, Max:1.336895, Min:-0.007563
0.706680,0.730435, Max:1.336895, Min:-0.007563
0.724686,0.735952, Max:1.336895, Min:-0.007563
0.736691,0.741469, Max:1.336895, Min:-0.007563
0.742692,0.746686, Max:1.336895, Min:-0.007563
0.730688,0.751660, Max:1.336895, Min:-0.007563
0.706680,0.756331, Max:1.336895, Min:-0.007563
0.682672,0.760939, Max:1.336895, Min:-0.007563
0.640658,0.765367, Max:1.336895, Min:-0.007563
0.610648,0.769973, Max:1.336895, Min:-0.007563
0.586640,0.774761, Max:1.336895, Min:-0.007563
0.562631,0.779550, Max:1.336895, Min:-0.007563
0.544625,0.784400, Max:1.336895, Min:-0.007563
0.544625,0.789730, Max:1.336895, Min:-0.007563
0.550627,0.795065, Max:1.336895, Min:-0.007563
0.568633,0.800640, Max:1.336895, Min:-0.007563
0.586640,0.806218, Max:1.336895, Min:-0.007563
0.604646,0.811735, Max:1.336895, Min:-0.007563
0.616650,0.817252, Max:1.336895, Min:-0.007563
0.628654,0.822709, Max:1.336895, Min:-0.007563
0.634656,0.827986, Max:1.336895, Min:-0.007563
0.634656,0.833140, Max:1.336895, Min:-0.007563
0.616650,0.837994, Max:1.336895, Min:-0.007563
0.598644,0.842784, Max:1.336895, Min:-0.007563
0.574635,0.847513, Max:1.336895, Min:-0.007563
0.550627,0.852302, Max:1.336895, Min:-0.007563
0.526619,0.856912, Max:1.336895, Min:-0.007563
0.490607,0.861579, Max:1.336895, Min:-0.007563
0.448593,0.865767, Max:1.336895, Min:-0.007563
0.406578,0.870131, Max:1.336895, Min:-0.007563
0.364564,0.874436, Max:1.336895, Min:-0.007563
0.322550,0.878980, Max:1.336895, Min:-0.007563
0.304544,0.883827, Max:1.336895, Min:-0.007563
