You entered a buffer length of 20
-1.185562,-0.369086, Max:1.499729, Min:-1.396291
-1.107291,-0.435156, Max:1.499729, Min:-1.396291
-0.944729,-0.494453, Max:1.499729, Min:-1.396291
-0.770125,-0.554014, Max:1.499729, Min:-1.396291
-0.643687,-0.617802, Max:1.499729, Min:-1.396291
-0.571437,-0.688425, Max:1.499729, Min:-1.396291
-0.553375,-0.763604, Max:1.499729, Min:-1.396291
-0.553375,-0.838710, Max:1.499729, Min:-1.396291
-0.493166,-0.908996, Max:1.499729, Min:-1.396291
-0.420916,-0.977234, Max:1.499729, Min:-1.396291
-0.312541,-1.043262, Max:1.499729, Min:-1.396291
-0.216208,-1.110084, Max:1.499729, Min:-1.396291
-0.156000,-1.180557, Max:1.499729, Min:-1.396291
-0.107833,-1.252417, Max:1.499729, Min:-1.396291
-0.071708,-1.326454, Max:1.499729, Min:-1.396291
-0.059666,-1.395783, Max:1.499729, Min:-1.396291
-0.035583,-1.330010, Max:1.499729, Min:-1.396291
-0.029562,-1.257481, Max:1.499729, Min:-1.396291
-0.023541,-1.184615, Max:1.499729, Min:-1.396291
-0.011500,-1.112636, Max:1.499729, Min:-1.396291
-0.041604,-1.044012, Max:1.499729, Min:-1.396291
-0.083750,-0.976459, Max:1.499729, Min:-1.396291
-0.113854,-0.907454, Max:1.499729, Min:-1.396291
-0.137937,-0.838377, Max:1.499729, Min:-1.396291
-0.180083,-0.771102, Max:1.499729, Min:-1.396291
-0.210187,-0.701509, Max:1.499729, Min:-1.396291
-0.216208,-0.629693, Max:1.499729, Min:-1.396291
-0.210187,-0.558067, Max:1.499729, Min:-1.396291
-0.240291,-0.488557, Max:1.499729, Min:-1.396291
-0.234271,-0.415541, Max:1.499729, Min:-1.396291
-0.216208,-0.342651, Max:1.499729, Min:-1.396291
-0.228250,-0.271874, Max:1.499729, Min:-1.396291
-0.246312,-0.201805, Max:1.499729, Min:-1.396291
-0.246312,-0.129664, Max:1.499729, Min:-1.396291
-0.240291,-0.056817, Max:1.499729, Min:-1.396291
-0.228250,-0.042338, Max:1.499729, Min:-1.396291
-0.192125,-0.047935, Max:1.499729, Min:-1.396291
-0.186104,-0.054838, Max:1.499729, Min:-1.396291
-0.174062,-0.062408, Max:1.499729, Min:-1.396291
-0.162021,-0.070313, Max:1.499729, Min:-1.396291
-0.180083,-0.079137, Max:1.499729, Min:-1.396291
-0.174062,-0.087105, Max:1.499729, Min:-1.396291
-0.168041,-0.095330, Max:1.499729, Min:-1.396291
-0.162021,-0.102063, Max:1.499729, Min:-1.396291
-0.137937,-0.107216, Max:1.499729, Min:-1.396291
-0.077729,-0.108377, Max:1.499729, Min:-1.396291
-0.005479,-0.106930, Max:1.499729, Min:-1.396291
0.133000,-0.102041, Max:1.499729, Min:-1.396291
0.247396,-0.097582, Max:1.499729, Min:-1.396291
0.385875,-0.091639, Max:1.499729, Min:-1.396291
0.542417,-0.083515, Max:1.499729, Min:-1.396291
0.626708,-0.086420, Max:1.499729, Min:-1.396291
0.560479,-0.102822, Max:1.499729, Min:-1.396291
0.452104,-0.121403, Max:1.499729, Min:-1.396291
0.385875,-0.136481, Max:1.499729, Min:-1.396291
0.307604,-0.168243, Max:1.499729, Min:-1.396291
0.235354,-0.152370, Max:1.499729, Min:-1.396291
0.205250,-0.135922, Max:1.499729, Min:-1.396291
0.163104,-0.120048, Max:1.499729, Min:-1.396291
0.114938,-0.104503, Max:1.499729, Min:-1.396291
0.060750,-0.090179, Max:1.499729, Min:-1.396291
-0.023541,-0.078926, Max:1.499729, Min:-1.396291
-0.119875,-0.068128, Max:1.499729, Min:-1.396291
-0.198146,-0.054945, Max:1.499729, Min:-1.396291
-0.222229,-0.035922, Max:1.499729, Min:-1.396291
-0.204166,-0.012995, Max:1.499729, Min:-1.396291
-0.174062,0.010730, Max:1.499729, Min:-1.396291
-0.149979,0.033591, Max:1.499729, Min:-1.396291
-0.131916,0.056409, Max:1.499729, Min:-1.396291
-0.113854,0.078623, Max:1.499729, Min:-1.396291
-0.113854,0.098699, Max:1.499729, Min:-1.396291
-0.131916,0.116862, Max:1.499729, Min:-1.396291
-0.168041,0.133425, Max:1.499729, Min:-1.396291
-0.216208,0.149004, Max:1.499729, Min:-1.396291
-0.258354,0.166641, Max:1.499729, Min:-1.396291
-0.276416,0.189499, Max:1.499729, Min:-1.396291
-0.306521,0.163548, Max:1.499729, Min:-1.396291
-0.318562,0.134555, Max:1.499729, Min:-1.396291
-0.324583,0.106312, Max:1.499729, Min:-1.396291
-0.324583,0.079312, Max:1.499729, Min:-1.396291
-0.324583,0.051771, Max:1.499729, Min:-1.396291
-0.312541,0.024805, Max:1.499729, Min:-1.396291
-0.300500,-0.001228, Max:1.499729, Min:-1.396291
-0.294479,-0.028420, Max:1.499729, Min:-1.396291
-0.288458,-0.054766, Max:1.499729, Min:-1.396291
-0.294479,-0.082575, Max:1.499729, Min:-1.396291
-0.294479,-0.111661, Max:1.499729, Min:-1.396291
-0.318562,-0.141112, Max:1.499729, Min:-1.396291
-0.324583,-0.169979, Max:1.499729, Min:-1.396291
-0.360708,-0.202731, Max:1.499729, Min:-1.396291
-0.438979,-0.236279, Max:1.499729, Min:-1.396291
-0.445000,-0.263846, Max:1.499729, Min:-1.396291
-0.408875,-0.287501, Max:1.499729, Min:-1.396291
-0.360708,-0.309757, Max:1.499729, Min:-1.396291
-0.300500,-0.330438, Max:1.499729, Min:-1.396291
-0.228250,-0.330569, Max:1.499729, Min:-1.396291
-0.162021,-0.319437, Max:1.499729, Min:-1.396291
-0.156000,-0.310451, Max:1.499729, Min:-1.396291
-0.174062,-0.303680, Max:1.499729, Min:-1.396291
-0.180083,-0.295514, Max:1.499729, Min:-1.396291
-0.180083,-0.286677, Max:1.499729, Min:-1.396291
-0.162021,-0.275096, Max:1.499729, Min:-1.396291
-0.101812,-0.259465, Max:1.499729, Min:-1.396291
0.018604,-0.236707, Max:1.499729, Min:-1.396291
0.199229,-0.208175, Max:1.499729, Min:-1.396291
0.415979,-0.176945, Max:1.499729, Min:-1.396291
0.620688,-0.147688, Max:1.499729, Min:-1.396291
0.789271,-0.122141, Max:1.499729, Min:-1.396291
0.921729,-0.100393, Max:1.499729, Min:-1.396291
0.993979,-0.091780, Max:1.499729, Min:-1.396291
0.680896,-0.125367, Max:1.499729, Min:-1.396291
0.018604,-0.183943, Max:1.499729, Min:-1.396291
-0.481125,-0.222395, Max:1.499729, Min:-1.396291
-0.782166,-0.238466, Max:1.499729, Min:-1.396291
-0.794208,-0.232948, Max:1.499729, Min:-1.396291
-0.896562,-0.204675, Max:1.499729, Min:-1.396291
-1.041062,-0.254740, Max:1.499729, Min:-1.396291
-0.974833,-0.285541, Max:1.499729, Min:-1.396291
-0.721958,-0.301230, Max:1.499729, Min:-1.396291
-0.426937,-0.314056, Max:1.499729, Min:-1.396291
-0.162021,-0.332459, Max:1.499729, Min:-1.396291
-0.023541,-0.363483, Max:1.499729, Min:-1.396291
-0.029562,-0.409890, Max:1.499729, Min:-1.396291
-0.162021,-0.467300, Max:1.499729, Min:-1.396291
-0.306521,-0.523154, Max:1.499729, Min:-1.396291
-0.348666,-0.569899, Max:1.499729, Min:-1.396291
-0.342646,-0.611974, Max:1.499729, Min:-1.396291
-0.312541,-0.651708, Max:1.499729, Min:-1.396291
-0.264375,-0.689518, Max:1.499729, Min:-1.396291
-0.216208,-0.727835, Max:1.499729, Min:-1.396291
-0.180083,-0.767381, Max:1.499729, Min:-1.396291
-0.162021,-0.808795, Max:1.499729, Min:-1.396291
-0.156000,-0.851205, Max:1.499729, Min:-1.396291
-0.137937,-0.891859, Max:1.499729, Min:-1.396291
-0.101812,-0.931522, Max:1.499729, Min:-1.396291
-0.077729,-0.976554, Max:1.499729, Min:-1.396291
-0.065687,-0.932746, Max:1.499729, Min:-1.396291
-0.065687,-0.885399, Max:1.499729, Min:-1.396291
-0.071708,-0.838177, Max:1.499729, Min:-1.396291
-0.083750,-0.791262, Max:1.499729, Min:-1.396291
-0.083750,-0.743760, Max:1.499729, Min:-1.396291
-0.089771,-0.696228, Max:1.499729, Min:-1.396291
-0.101812,-0.649599, Max:1.499729, Min:-1.396291
-0.107833,-0.603014, Max:1.499729, Min:-1.396291
-0.125896,-0.557636, Max:1.499729, Min:-1.396291
-0.174062,-0.515027, Max:1.499729, Min:-1.396291
-0.216208,-0.470751, Max:1.499729, Min:-1.396291
-0.234271,-0.424284, Max:1.499729, Min:-1.396291
-0.222229,-0.374697, Max:1.499729, Min:-1.396291
-0.186104,-0.323449, Max:1.499729, Min:-1.396291
-0.168041,-0.273322, Max:1.499729, Min:-1.396291
-0.156000,-0.224154, Max:1.499729, Min:-1.396291
-0.131916,-0.172927, Max:1.499729, Min:-1.396291
-0.101812,-0.122801, Max:1.499729, Min:-1.396291
-0.077729,-0.072128, Max:1.499729, Min:-1.396291
-0.053646,-0.068692, Max:1.499729, Min:-1.396291
-0.053646,-0.067918, Max:1.499729, Min:-1.396291
-0.053646,-0.066976, Max:1.499729, Min:-1.396291
-0.053646,-0.066628, Max:1.499729, Min:-1.396291
-0.053646,-0.066309, Max:1.499729, Min:-1.396291
-0.023541,-0.061477, Max:1.499729, Min:-1.396291
0.024625,-0.054913, Max:1.499729, Min:-1.396291
0.108917,-0.044350, Max:1.499729, Min:-1.396291
0.211271,-0.032081, Max:1.499729, Min:-1.396291
0.361792,-0.016415, Max:1.499729, Min:-1.396291
0.470167,-0.006300, Max:1.499729, Min:-1.396291
0.500271,-0.004289, Max:1.499729, Min:-1.396291
0.464146,-0.006898, Max:1.499729, Min:-1.396291
0.428021,-0.011544, Max:1.499729, Min:-1.396291
0.325667,-0.021710, Max:1.499729, Min:-1.396291
0.235354,-0.029143, Max:1.499729, Min:-1.396291
0.223313,-0.028310, Max:1.499729, Min:-1.396291
0.259438,-0.023753, Max:1.499729, Min:-1.396291
0.283521,-0.022622, Max:1.499729, Min:-1.396291
0.217292,-0.030392, Max:1.499729, Min:-1.396291
0.120959,-0.046435, Max:1.499729, Min:-1.396291
0.072792,-0.043324, Max:1.499729, Min:-1.396291
0.060750,-0.041362, Max:1.499729, Min:-1.396291
-0.059666,-0.047586, Max:1.499729, Min:-1.396291
-0.137937,-0.046994, Max:1.499729, Min:-1.396291
-0.113854,-0.037933, Max:1.499729, Min:-1.396291
-0.077729,-0.028750, Max:1.499729, Min:-1.396291
-0.059666,-0.021366, Max:1.499729, Min:-1.396291
-0.053646,-0.014675, Max:1.499729, Min:-1.396291
-0.047625,-0.008019, Max:1.499729, Min:-1.396291
-0.041604,-0.001364, Max:1.499729, Min:-1.396291
-0.047625,0.003484, Max:1.499729, Min:-1.396291
-0.071708,0.006737, Max:1.499729, Min:-1.396291
-0.101812,0.009308, Max:1.499729, Min:-1.396291
-0.143958,0.010942, Max:1.499729, Min:-1.396291
-0.192125,0.011625, Max:1.499729, Min:-1.396291
-0.246312,0.013466, Max:1.499729, Min:-1.396291
-0.282437,0.015063, Max:1.499729, Min:-1.396291
-0.312541,0.017250, Max:1.499729, Min:-1.396291
-0.360708,0.018263, Max:1.499729, Min:-1.396291
-0.426937,0.037279, Max:1.499729, Min:-1.396291
-0.469083,0.009631, Max:1.499729, Min:-1.396291
-0.487146,-0.021555, Max:1.499729, Min:-1.396291
-0.517250,-0.054121, Max:1.499729, Min:-1.396291
-0.547354,-0.085854, Max:1.499729, Min:-1.396291
-0.577458,-0.117545, Max:1.499729, Min:-1.396291
-0.595521,-0.148029, Max:1.499729, Min:-1.396291
-0.607562,-0.176647, Max:1.499729, Min:-1.396291
-0.577458,-0.203365, Max:1.499729, Min:-1.396291
-0.571437,-0.232096, Max:1.499729, Min:-1.396291
